School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
;A.T. Still University;Kirksville;Missouri;40.1986;-92.5752;;United States;美國;
;Abilene Christian University;Abilene;Texas;32.4543;-99.7384;;United States;美國;
;Abraham Baldwin Agricultural College;Tifton;Georgia;31.4624;-83.5203;;United States;美國;
;Academy of Art University;San Francisco;California;37.7558;-122.4449;;United States;美國;
;Adams State University;Alamosa;Colorado;37.4752;-105.877;;United States;美國;
;Adelphi University;Garden City;New York;40.7266;-73.6447;;United States;美國;
;Adler Graduate School;Minnetonka;Minnesota;44.9322;-93.4598;;United States;美國;
;Adler University;Chicago;Illinois;41.8375;-87.6866;;United States;美國;
;Adrian College;Adrian;Michigan;41.8994;-84.0447;;United States;美國;
;AdventHealth University;Orlando;Florida;28.4773;-81.337;;United States;美國;
;Agnes Scott College;Decatur;Illinois;39.8557;-88.9342;;United States;美國;
;Air Force Institute of Technology;Wright-Patterson AFB;Ohio;39.8112;-84.0573;;United States;美國;
;Alabama A&M University;Huntsville;Alabama;34.6981;-86.6412;;United States;美國;
;Alabama State University;Montgomery;Alabama;32.3482;-86.2668;;United States;美國;
;Alaska Bible College;Palmer;Massachusetts;42.15843;-72.32869;;United States;美國;
;Alaska Pacific University;Anchorage;Alaska;61.1508;-149.1091;;United States;美國;
;Albany College of Pharmacy and Health Sciences;Albany;New York;42.6664;-73.7987;;United States;美國;
;Albany Law School;Albany;New York;42.6664;-73.7987;;United States;美國;
;Albany Medical College;Albany;New York;42.6664;-73.7987;;United States;美國;
;Albany State University;Albany;New York;42.6664;-73.7987;;United States;美國;
阿本尼大學醫學院;Albany University;Albany;New York;42.6664;-73.7987;;United States;美國;
;Albertus Magnus College;New Haven;Connecticut;41.3113;-72.9246;;United States;美國;
阿爾比恩學院;Albion College;Albion;Michigan;42.2478;-84.7572;;United States;美國;
;Albright College;Reading;Pennsylvania;40.34;-75.9267;;United States;美國;
;Alcorn State University;Lorman;Mississippi;31.82044;-91.05011;;United States;美國;
;Alderson Broaddus University;Philippi;West Virginia;39.1488;-80.0417;;United States;美國;
;Alfred State College;Alfred;New York;42.25424;-77.79055;;United States;美國;
阿爾弗萊德大學;Alfred University;Alfred;New York;42.25424;-77.79055;;United States;美國;
;Alice Lloyd College;Pippa Passes;Kentucky;37.3342;-82.8733;;United States;美國;
;Allegheny College;Meadville;Pennsylvania;41.6476;-80.1468;;United States;美國;
;Allen College;Waterloo;Iowa;42.4918;-92.3522;;United States;美國;
;Allen University;Columbia;South Carolina;34.0378;-80.9036;;United States;美國;
;Alliant International University;San Diego;California;32.8313;-117.1222;;United States;美國;
;Alma College;Alma;Michigan;43.3799;-84.6556;;United States;美國;
;Alvernia University;Reading;Pennsylvania;40.34;-75.9267;;United States;美國;
;Alverno College;Milwaukee;Wisconsin;43.0642;-87.9675;;United States;美國;
;Amberton University;Garland;Texas;32.91;-96.6304;;United States;美國;
;American Baptist College;Nashville;Tennessee;36.1715;-86.7842;;United States;美國;
;American Film Institute Conservatory;Los Angeles;California;34.1141;-118.4068;;United States;美國;
;American International College;Springfield;Missouri;37.1943;-93.2916;;United States;美國;
;American Jewish University;Los Angeles;California;34.1141;-118.4068;;United States;美國;
美國參謀大學;American Staff University;Glendale;Arizona;33.5791;-112.2311;;United States;美國;
美利堅大學;American University;Washington;District of Columbia;38.9047;-77.0163;;United States;美國;
合眾大學;American University;"	Washington D.C.";District of Columbia;38.9047;-77.0163;;United States;美國;National Bureau of Standards (1901 - 1988) -   National Institute of Standards and Technology (1988 - present) It's an agency of the United States Department of Commerce
美國藝術大學;American University of the Arts;Philadelphia;Pennsylvania;40.0077;-75.1339;;United States;美國;
;Amherst College;Amherst;Massachusetts;42.36723;-72.51852;;United States;美國;
;Anderson University;Anderson;South Carolina;34.5211;-82.6478;;United States;美國;
麻省安度華學校;Andover School;Andover;Massachusetts;42.65843;-71.137;;United States;美國;
;Andover School of Massachusetts;Andover;Massachusetts;42.65843;-71.137;;United States;美國;
;Andrews University;Berrien Springs;Michigan;41.9474;-86.3403;;United States;美國;
;Angelo State University;San Angelo;Texas;31.4424;-100.4504;;United States;美國;
;Anna Maria College;Paxton;Massachusetts;42.3112;-71.92813;;United States;美國;
安提亞克大學;Antioch University;Culver City;California;34.0058;-118.3968;;United States;美國;
安迪亞克大學;Antioch University;Yellow Springs;Ohio;39.7987;-83.8904;;United States;美國;
;Antioch University Los Angeles;Culver City;California;34.0058;-118.3968;;United States;美國;
;Antioch University New England;Keene;New Hampshire;42.9494;-72.2998;;United States;美國;
;Antioch University Santa Barbara;Santa Barbara;California;34.4285;-119.7202;;United States;美國;
;Antioch University Seattle;Seattle;Washington;47.6211;-122.3244;;United States;美國;
;Appalachian Bible College;Mount Hope;West Virginia;37.8976;-81.1737;;United States;美國;
;Appalachian College of Pharmacy;Oakwood;Georgia;34.2236;-83.8851;;United States;美國;
;Appalachian State University;Boone;North Carolina;36.2111;-81.6669;;United States;美國;
;Aquinas College;Grand Rapids;Michigan;42.9619;-85.6562;;United States;美國;
;Arcadia University;Glenside;Pennsylvania;40.1032;-75.1517;;United States;美國;
;Arizona Christian University;Phoenix;Arizona;33.5722;-112.0892;;United States;美國;
;Arizona State University;Tempe;Arizona;33.3881;-111.9319;;United States;美國;
;Arkansas Baptist College;Little Rock;Arkansas;34.7256;-92.3577;;United States;美國;
;Arkansas State University;Jonesboro;Arkansas;35.8212;-90.6791;;United States;美國;
;Arkansas Tech University;Russellville;Arkansas;35.2762;-93.1383;;United States;美國;
;Arlington Baptist University;Arlington;Virginia;38.8786;-77.1011;;United States;美國;
;Arlington School of Fine Arts;Arlington;Virginia;38.8786;-77.1011;;United States;美國;
;Art Academy of Cincinnati;Cincinnati;Ohio;39.1413;-84.506;;United States;美國;
;ArtCenter College of Design;Pasadena;California;34.1597;-118.139;;United States;美國;
艾斯伯裏學院;Asbury University;Wilmore;Kentucky;37.8786;-84.6545;;United States;美國;
;Ashland University;Ashland;Virginia;37.7597;-77.4716;;United States;美國;
;Assumption College;Worcester;Massachusetts;42.2705;-71.8079;;United States;美國;
;Athens State University;Athens;Tennessee;35.4573;-84.6045;;United States;美國;
;Atlanta Metropolitan State College;Atlanta;Georgia;33.7628;-84.422;;United States;美國;
;Atlanta Metropolitan State College - Atlanta, GA;Atlanta;Georgia;33.7628;-84.422;;United States;美國;
大西洋聯盟學院;Atlantic Union College;South Lancaster;Massachusetts;42.4373;-71.692;;United States;美國;
;Auburn University;Auburn;Alabama;32.6087;-85.4903;;United States;美國;
;Auburn University at Montgomery;Montgomery;Alabama;32.3482;-86.2668;;United States;美國;
;Augsburg University;Minneapolis;Minnesota;44.9635;-93.2678;;United States;美國;
